English,Malayalam
play a podcast about latest yoga videos,പുതിയ yoga videos കുറിച്ച് ഉള്ള പോഡ് കാസ്റ്റ് പ്ലേ ചെയ്യുക
how is the stock for compaq doing,കെല്‍ട്രോണ്‍ എങ്ങനെ പോകുന്നു
get the status posted for the following,ഇനിപ്പറയുന്നവയുടെ സ്റ്റാറ്റസ് പോസ്റ്റുചെയ്യുക
hey order a side of hot wings with my previous order,ഹേയ് എൻ്റെ മുമ്പത്തെ ഓർഡറിനൊപ്പം ഒരു സൈഡ് ഓഫ് ഹോട്ട് വിങ്‌സ് ഓർഡർ ചെയ്യൂ
alexa please send an email to mom,അലക്‌സാ അമ്മയ്ക്ക് ഒരു ഇമെയിൽ അയയ്ക്കൂ
i had a great day today,എനിക്ക് ഇന്ന് ഒരു മികച്ച ദിവസമായിരുന്നു
i can barely hear you,എനിക്ക് നിങ്ങളെ കഷ്ടിച്ച് കേൾക്കാൻ കഴിയുന്നുള്ളു
definition of velocity,വേഗതയുടെ നിർവചനം
tell me something to remind this week,ഈ ആഴ്ച എന്നെ ഓര്‍മിപ്പികേണ്ടത് എന്തെങ്കിലും പറയുക
bring me latest tech news,എനിക്ക് ഏറ്റവും പുതിയ സാങ്കേതിക വാർത്തകൾ കൊണ്ടുവരിക
please tell me what is the definition of cylinder,സിലിണ്ടറിന്റെ നിർവചനം എന്താണെന്ന് ദയവായി എന്നോട് പറയൂ
current news c. n. n.,ഇപ്പോൾ മനോരമയിലെ വാർത്ത
tweet that there was an insect in the chocolate packet,ചോക്ലേറ്റ് പാക്കറ്റിൽ ഒരു പ്രാണിയുണ്ടെന്ന് ട്വീറ്റ് ചെയ്തു
send alert mail to sandy,അനിതയ്ക്ക് മുന്നറിയിപ്പ് മെയില്‍ അയയ്ക്കുക
tell me the weather for this week,ഈ ആഴ്‌ചയിലെ കാലാവസ്ഥ എന്നോട് പറയൂ
can you tell me today's date,ഇന്നത്തെ തീയതി പറയാമോ
how is traffic in city,നഗരത്തിലെ ഗതാഗതം എങ്ങനെയുണ്ട്
can you tell me what kind of show can i go tonight in miami,എനിക്ക് ഇന്ന് രാത്രി മണിമലയിൽ എന്ത് തരം ഷോ നടത്താനാകുമെന്ന് എന്നോട് പറയാമോ
someone,ആരെങ്കിലും
increase volume to fifty percent,ശബ്ദം അമ്പത് ശതമാനത്തിലേക്ക് കൂട്ടുക
brighten lights in living room,സ്വീകരണമുറിയിൽ ലൈറ്റുകൾ പ്രകാശിപ്പിക്കുക
