English,Marathi
• Lack of exercise,» व्यायामाचा अभाव
"Do this 10 times, change hands and execute 10 more times.","हे 10 वेळा करा, हात बदलून 10 वेळा अधिक करा."
And that’s no surprise…,आणि यात आश्चर्य नाही .
The main causes of a loose stool in a newborn are errors in nutrition.,नवजात बाळाच्या मुरुमांच्या मुख्य कारण पोषण त्रुटी आहेत.
Because they are haters.,कारण ते गद्दार आहेत.
Sometimes more sometimes less.,कधी तो जास्त तर कधी कमी असतो.
But I could be totally whacked.,पण मी पूर्णपणे कोलमडून गेले.
And we couldn’t have done it without him.,तो न करता आम्ही करू शकत नाही.
The number of coronavirus patients is increasing on a daily basis.,कारण दिवसेंदिवस कोरोना रुग्णांचा आकडा वाढत आहे.
""" Yadav said.",” अशी प्रतिक्रिया यादव यांनी दिली.
Be very wise and very careful!,सावध रहा आणि खूप विचार करु नका!
Ranveer and Deepika will soon be seen together on the big screen in Kabir Khan's upcoming film '83.,रणवीर आणि दीपिका कबीर खानच्या '83' चित्रपटात एकत्र दिसणार आहेत.
Then add honey to it.,नंतर त्यात हळदी मिसळा.
Are you at all concerned about this?,तुम्हालाही याची चिंता वाटते का?
Team India defeated Australia in three-match ODI series 2-1.,तर या दौऱ्यात टीम इंडियाने ऑस्ट्रेलियाविरुद्धची टी-ट्वेन्टी मालिका 2-1 अशी जिंकली
Armed police held them at gunpoint.,त्याठिकाणी बंदोबस्तावर तैनात असलेल्या पोलिसांनी त्यांना ताब्यात घेतले.
There is no source of income.,उत्पन्नाचे साधन नाही.
Heavy rains are occurring in many parts of the state.,राज्यभरात ठिकठिकाणी मुसळधार पाऊस पडत आहे.
But how are they related?,पण त्यांचा काय संबंध?
He could not make out exactly what she was saying.,तिला नक्की सांगता येत नव्हतं काय चुकतंय.
And they have thrived there.,आणि तिथेच त्यांची वाढ होते.
A total of 30 units of blood were collected in the camp.,या शिबिरामध्ये हे एकूण 30 रक्तदात्यांनी रक्तदान केले.
Kolkata: Bengal Chief Minister Mamata Banerjee continues her attack on Narendra Modi.,कोलकत्ता : पोलिसनामा ऑनलाईन – पश्चिम बंगालच्या बांकुरा येथे रविवारी मोर्चाला संबोधित करताना पंतप्रधान नरेंद्र मोदी यांनी भ्रष्टाचाराच्या मुद्यावरून बंगालच्या मुख्यमंत्री ममता बॅनर्जी यांच्यावर जोरदार निशाणा साधला.
Then add the cottage cheese.,नंतर यात किसलेलं पनीर घाला.
And there's good and bad in that.,त्यात चांगली आणि वाईटही आहेत.
